201208172_T-13-13-48_Dive_01_051.jpg
x,y,label
65,118,3
330,236,3
221,379,3
309,347,2
390,792,4
278,801,4
48,968,3
223,1100,3
413,1502,3
155,1340,4
688,131,3
584,206,3
589,536,4
504,422,4
508,620,4
545,886,4
745,998,4
601,1209,2
559,1460,5
605,1477,3
1041,242,4
1204,60,3
1055,398,4
949,394,4
896,698,4
850,817,4
1005,930,4
1112,1021,3
1002,1447,4
1144,1235,4
1477,94,4
1395,55,5
1341,419,4
1511,479,3
1573,652,3
1617,882,3
1338,1104,4
1372,1003,2
1425,1274,4
1357,1267,4
1765,50,3
1743,145,3
1931,379,4
1753,591,4
1677,707,3
1786,884,5
1913,1013,5
1843,1178,5
1798,1289,5
1923,1285,3
85,141,3
92,167,3
30,170,3
192,179,3
109,213,3
171,198,3
160,247,3
120,221,3
144,184,3
180,199,3
423,206,3
426,180,3
332,225,3
352,270,3
333,251,3
311,172,3
419,202,3
358,208,3
388,186,3
319,249,3
224,355,3
216,440,3
209,429,3
227,361,3
228,384,3
209,438,3
240,378,3
209,370,3
255,379,3
235,407,3
357,360,2
296,416,2
292,526,2
325,416,2
331,365,2
265,390,2
329,420,2
298,397,2
291,351,2
346,354,2
266,855,4
376,848,4
389,782,4
371,801,4
209,898,4
387,759,4
295,830,4
358,793,4
339,844,4
318,823,4
262,848,4
346,848,4
201,867,4
326,853,4
273,853,4
388,750,4
386,839,4
375,872,4
294,818,4
278,906,4
63,965,3
129,854,3
127,843,3
98,915,3
86,889,3
131,910,3
114,891,3
101,858,3
140,895,3
118,872,3
171,1134,3
223,1136,3
141,1160,3
208,1119,3
174,1156,3
125,1077,3
102,1105,3
152,1184,3
179,1199,3
189,1156,3
552,1521,3
435,1526,3
473,1529,3
453,1505,3
505,1498,3
578,1510,3
506,1499,3
571,1506,3
566,1513,3
398,1467,3
85,1325,4
36,1294,4
182,1339,4
27,1275,4
58,1316,4
33,1300,4
26,1279,4
143,1324,4
52,1281,4
65,1309,4
679,42,3
674,70,3
690,93,3
650,26,3
748,3,3
721,39,3
751,52,3
803,4,3
613,17,3
631,92,3
556,265,3
706,259,3
503,256,3
501,264,3
543,238,3
512,263,3
707,268,3
584,253,3
557,265,3
605,238,3
553,514,4
607,551,4
650,565,4
574,482,4
513,590,4
562,544,4
641,543,4
603,514,4
567,572,4
593,556,4
529,409,4
530,439,4
495,357,4
504,369,4
527,400,4
529,345,4
529,408,4
524,394,4
490,354,4
483,426,4
588,634,4
539,612,4
587,679,4
580,602,4
556,661,4
636,620,4
617,620,4
600,675,4
520,642,4
557,653,4
516,825,4
599,834,4
594,796,4
589,884,4
537,852,4
525,825,4
626,927,4
627,933,4
540,871,4
628,910,4
721,1052,4
786,1044,4
722,1004,4
799,1073,4
715,1020,4
742,1000,4
693,1012,4
807,1027,4
806,1059,4
732,999,4
710,1187,2
634,1210,2
574,1206,2
642,1172,2
546,1158,2
671,1183,2
588,1137,2
681,1214,2
670,1216,2
739,1236,2
582,1332,5
562,1277,5
560,1455,5
486,1357,5
565,1339,5
573,1307,5
566,1453,5
590,1408,5
602,1375,5
596,1267,5
648,1485,3
613,1355,3
608,1367,3
669,1385,3
658,1522,3
629,1505,3
617,1486,3
633,1393,3
636,1385,3
635,1520,3
1096,325,4
1103,263,4
1081,236,4
1122,250,4
1035,254,4
1121,321,4
1063,277,4
1122,373,4
1103,266,4
1096,312,4
1220,17,3
1160,17,3
1132,2,3
1179,98,3
1074,6,3
1219,83,3
1126,22,3
1187,46,3
1156,66,3
1120,8,3
1070,528,4
1017,467,4
1082,444,4
1040,490,4
1089,415,4
1115,483,4
1055,424,4
1089,481,4
1028,433,4
1069,427,4
974,369,4
903,354,4
901,341,4
917,443,4
921,387,4
928,455,4
960,364,4
921,411,4
940,403,4
903,388,4
926,705,4
919,710,4
986,614,4
929,667,4
972,650,4
966,662,4
994,637,4
937,701,4
1016,655,4
973,615,4
805,752,4
863,787,4
850,838,4
816,736,4
860,789,4
809,697,4
814,766,4
842,797,4
846,804,4
789,749,4
1024,899,4
1003,895,4
981,856,4
988,909,4
953,922,4
987,931,4
973,930,4
961,873,4
1026,911,4
985,911,4
1127,1007,3
1180,959,3
1185,939,3
1220,975,3
1126,1040,3
1177,958,3
1235,960,3
1250,950,3
1217,1015,3
1234,1019,3
1018,1529,4
934,1503,4
968,1499,4
971,1493,4
1017,1492,4
944,1448,4
908,1436,4
972,1421,4
956,1448,4
954,1504,4
1146,1211,4
1221,1174,4
1228,1198,4
1238,1212,4
1203,1157,4
1195,1228,4
1239,1215,4
1134,1219,4
1198,1239,4
1172,1221,4
1476,90,4
1416,91,4
1450,95,4
1408,92,4
1459,106,4
1488,120,4
1370,131,4
1469,101,4
1493,137,4
1467,106,4
1380,43,5
1356,17,5
1384,76,5
1380,120,5
1411,27,5
1379,114,5
1407,68,5
1401,70,5
1355,8,5
1387,76,5
1356,337,4
1288,404,4
1263,351,4
1298,351,4
1336,350,4
1257,373,4
1243,364,4
1283,397,4
1258,337,4
1343,383,4
1499,445,3
1526,494,3
1542,444,3
1484,514,3
1521,495,3
1496,480,3
1541,510,3
1420,460,3
1486,539,3
1494,489,3
1513,749,3
1490,747,3
1509,701,3
1550,735,3
1482,724,3
1499,746,3
1620,738,3
1596,662,3
1555,646,3
1553,674,3
1626,873,3
1540,975,3
1590,934,3
1582,952,3
1586,863,3
1578,856,3
1582,902,3
1602,947,3
1543,963,3
1521,941,3
1331,1134,4
1390,1052,4
1312,1096,4
1386,1060,4
1337,1043,4
1413,1081,4
1406,1064,4
1397,1057,4
1413,1096,4
1402,1073,4
1413,941,2
1372,1012,2
1353,1027,2
1387,1021,2
1341,1023,2
1376,966,2
1362,1024,2
1299,899,2
1252,971,2
1376,1019,2
1458,1263,4
1417,1240,4
1483,1254,4
1407,1275,4
1464,1260,4
1461,1209,4
1502,1243,4
1440,1285,4
1471,1203,4
1463,1207,4
1306,1289,4
1370,1313,4
1366,1336,4
1363,1258,4
1352,1351,4
1340,1260,4
1351,1326,4
1391,1308,4
1351,1314,4
1337,1267,4
1744,82,3
1719,65,3
1827,69,3
1696,65,3
1792,86,3
1861,95,3
1872,103,3
1703,59,3
1759,98,3
1747,71,3
1730,124,3
1751,191,3
1803,118,3
1746,202,3
1734,161,3
1752,174,3
1719,140,3
1766,190,3
1751,153,3
1797,117,3
1938,381,4
1905,286,4
1920,407,4
1874,335,4
1946,298,4
1952,372,4
1874,314,4
1895,328,4
1964,335,4
1972,362,4
1785,534,4
1802,523,4
1729,513,4
1777,529,4
1782,605,4
1775,527,4
1733,568,4
1780,606,4
1789,563,4
1790,577,4
1694,767,3
1719,732,3
1698,745,3
1692,703,3
1632,754,3
1706,678,3
1724,701,3
1690,728,3
1680,682,3
1698,728,3
1767,972,5
1871,972,5
1822,926,5
1852,935,5
1799,960,5
1855,847,5
1801,887,5
1768,966,5
1828,880,5
1733,835,5
1996,1007,5
2034,990,5
1944,1022,5
1971,986,5
1951,930,5
2020,952,5
1901,1001,5
1989,981,5
1914,995,5
1922,985,5
1792,1102,5
1854,1160,5
1740,1154,5
1736,1234,5
1750,1166,5
1845,1187,5
1794,1164,5
1888,1125,5
1734,1121,5
1736,1129,5
1795,1221,5
1804,1223,5
1753,1215,5
1793,1252,5
1844,1305,5
1784,1246,5
1793,1208,5
1813,1239,5
1801,1235,5
1857,1336,5
1949,1273,3
1884,1276,3
1831,1208,3
1872,1276,3
1857,1263,3
1861,1274,3
1861,1265,3
1906,1299,3
1837,1231,3
1904,1344,3
