201208172_T-12-49-32_Dive_01_024.jpg
x,y,label
1682,371,4
1692,903,3
1456,819,4
1844,229,4
1550,308,4
1929,1358,4
409,119,3
1244,921,4
1434,497,4
594,111,3
642,731,5
954,1144,3
260,918,3
1235,575,4
1908,1139,4
1308,741,4
1570,636,4
1586,1108,4
1422,206,4
1182,1102,3
1167,305,4
1189,649,4
729,737,3
537,95,3
737,1026,3
994,1128,5
840,1148,5
295,494,4
237,1113,3
1137,332,4
150,1387,3
1835,130,4
676,812,3
1058,711,4
908,46,5
1666,931,3
1661,804,3
720,347,3
168,785,4
1913,401,4
1395,810,4
847,1269,3
903,601,5
119,103,2
1590,345,4
1453,869,4
454,682,4
580,1462,3
497,658,3
1133,604,4
1652,433,4
1764,412,4
1725,454,4
1718,423,4
1688,390,4
1707,356,4
1754,435,4
1725,450,4
1745,398,4
1675,411,4
1725,976,3
1606,986,3
1630,990,3
1632,919,3
1660,914,3
1690,1014,3
1642,914,3
1623,979,3
1728,935,3
1694,906,3
1426,799,4
1466,877,4
1364,869,4
1480,873,4
1455,797,4
1364,845,4
1459,879,4
1370,896,4
1406,808,4
1403,851,4
1891,227,4
1896,240,4
1880,251,4
1902,234,4
1907,249,4
1901,248,4
1903,244,4
1872,292,4
1879,296,4
1893,284,4
1594,392,4
1614,399,4
1653,443,4
1600,451,4
1587,416,4
1568,380,4
1611,348,4
1589,454,4
1674,479,4
1639,345,4
1831,1406,4
1865,1379,4
1871,1395,4
1902,1423,4
1896,1379,4
1823,1351,4
1883,1372,4
1910,1410,4
1861,1368,4
1913,1403,4
399,173,3
367,160,3
376,79,3
327,93,3
400,185,3
435,171,3
367,87,3
387,139,3
343,102,3
353,103,3
1243,959,4
1271,919,4
1266,944,4
1335,961,4
1265,954,4
1284,942,4
1254,977,4
1249,961,4
1297,987,4
1256,934,4
1449,450,4
1420,478,4
1464,492,4
1496,457,4
1461,509,4
1499,503,4
1426,475,4
1457,514,4
1444,518,4
1440,454,4
588,105,3
648,176,3
654,104,3
668,164,3
642,111,3
624,152,3
624,99,3
595,105,3
682,181,3
690,201,3
477,672,5
545,675,5
639,690,5
567,681,5
545,650,5
557,682,5
599,686,5
488,673,5
481,663,5
567,671,5
1038,1148,3
908,1197,3
1015,1134,3
1050,1160,3
984,1116,3
956,1176,3
1008,1118,3
1059,1153,3
935,1120,3
983,1104,3
238,860,3
166,881,3
279,929,3
243,890,3
289,907,3
164,857,3
134,906,3
298,923,3
112,932,3
241,954,3
1235,615,4
1210,556,4
1252,558,4
1250,592,4
1182,542,4
1167,552,4
1208,584,4
1209,535,4
1226,548,4
1210,615,4
1896,1063,4
1854,1078,4
1883,1106,4
1944,1113,4
1875,1042,4
1936,1116,4
1839,1081,4
1830,1116,4
1907,1077,4
1831,1112,4
1325,682,4
1324,644,4
1284,704,4
1284,658,4
1302,738,4
1326,671,4
1287,736,4
1333,639,4
1327,697,4
1270,693,4
1601,699,4
1588,660,4
1633,650,4
1589,643,4
1552,643,4
1545,614,4
1620,600,4
1607,696,4
1634,639,4
1647,673,4
1608,1036,4
1577,1143,4
1596,1058,4
1607,1029,4
1578,1043,4
1576,1085,4
1532,1113,4
1624,1107,4
1589,1082,4
1602,1063,4
1446,224,4
1448,163,4
1452,209,4
1376,140,4
1449,198,4
1414,182,4
1401,195,4
1437,135,4
1469,193,4
1453,131,4
1152,1144,3
1146,1129,3
1131,1099,3
1099,1140,3
1127,1130,3
1182,1169,3
1093,1166,3
1076,1173,3
1120,1195,3
1138,1207,3
1184,410,4
1144,356,4
1128,336,4
1196,337,4
1224,325,4
1198,418,4
1150,395,4
1166,317,4
1199,390,4
1205,406,4
1120,619,4
1168,703,4
1156,702,4
1170,711,4
1190,633,4
1223,638,4
1172,612,4
1161,691,4
1218,674,4
1100,645,4
755,787,3
757,751,3
735,721,3
753,773,3
753,723,3
746,740,3
740,814,3
788,771,3
781,800,3
763,731,3
570,77,3
599,70,3
538,96,3
535,88,3
556,5,3
537,115,3
612,73,3
612,65,3
575,61,3
565,19,3
748,992,3
731,1011,3
669,1077,3
729,1068,3
714,1059,3
819,1025,3
693,1003,3
675,996,3
762,1056,3
657,1091,3
1049,1147,5
1019,1113,5
1045,1177,5
917,1156,5
973,1105,5
1024,1137,5
955,1133,5
907,1196,5
1020,1147,5
1026,1158,5
915,1123,5
887,1192,5
962,1135,5
892,1171,5
859,1108,5
859,1117,5
892,1106,5
870,1124,5
904,1155,5
897,1151,5
160,451,4
194,448,4
222,454,4
222,511,4
